Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Zagreb - Introduction,11/12/2021,09:00 AM,11/12/2021,9:30 AM,False,,ZICER,False
Zagreb - Project pitches,11/12/2021,9:30 AM,11/12/2021,10:30 AM,False,,ZICER,False
Zagreb - Breakfast and group forming,11/12/2022,10:30 AM,11/12/2022,11:00 AM,False,,ZICER,False
Zagreb - Open Hacking,11/12/2022,11:00 AM,11/12/2022,01:30 PM,False,,ZICER,False
Zagreb - Lunch,11/12/2023,01:30 PM,11/12/2023,02:00 PM,False,,ZICER,False
Zagreb - Invited lecture,11/12/2024,02:00 PM,11/12/2024,03:00 PM,False,,ZICER,False
Zagreb - Unconference #1,11/12/2025,03:00 PM,11/12/2025,04:00 PM,False,,ZICER,False
Zagreb – Panel discussion,11/12/2026,04:00 PM,11/12/2026,06:00 PM,False,,ZICER,False
Zagreb – Breakfast,12/12/2021,09:00 AM,12/12/2021,9:30 AM,False,,ZICER,False
Zagreb - Open Hacking,12/12/2021,9:30 AM,12/12/2021,12:30 AM,False,,ZICER,False
Zagreb - Lunch,12/12/2023,12:30 AM,12/12/2023,01:30 PM,False,,ZICER,False
Zagreb - Open Hacking,12/12/2022,02:30 PM,12/12/2022,04:00 PM,False,,ZICER,False
Zagreb - Invited lecture,12/12/2023,01:30 PM,12/12/2023,02:30 PM,False,,ZICER,False
Zagreb - Unconference #2 / Project presentation,12/12/2024,04:00 PM,12/12/2024,05:00 PM,False,,ZICER,False
Zagreb – Adjourn,12/12/2024,05:00 PM,12/12/2024,05:00 PM,False,,ZICER,False
